iteration,step,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,ratio_mean
133,2,6.9308749999999995,7.646,7.431800000000001,0.39244601130485535,8.698863983154297,3.2974252700805664
134,1,6.53175,7.067,6.8352,11.236335754394531,17.78215789794922,13.84459114074707
134,2,6.830375,7.668,7.115399999999999,0.3716374337673187,10.04812240600586,2.43483304977417
135,1,6.994625000000001,7.98,7.4316,1.0385949611663818,6.204296112060547,2.965758800506592
135,2,6.945125000000001,7.736,7.403800000000001,3.563964605331421,3.21413516998291,5.583824157714844
136,1,6.781714285714286,8.071,7.1444,1.332580327987671,14.964851379394531,2.3172574043273926
136,2,6.5489999999999995,7.991,7.3474,0.4661707878112793,9.778244972229004,1.867515206336975
137,1,7.383857142857143,8.136,7.670399999999999,1.4344910383224487,5.1579484939575195,4.855037689208984
137,2,6.6725714285714295,8.232,7.0378,3.728973865509033,8.665751457214355,6.9586029052734375
138,1,6.410142857142857,7.918,6.5840000000000005,0.3337913751602173,15.31114673614502,4.443443298339844
138,2,6.633375,7.578,6.982799999999999,0.7733961343765259,8.745529174804688,3.842959403991699
139,1,6.780875,8.401,7.296600000000001,1.3275320529937744,11.810502052307129,2.603239059448242
139,2,6.822,7.968,7.1778,0.9078007936477661,5.673192024230957,2.8617136478424072
140,1,6.882625,7.735,7.294200000000001,1.6348142623901367,8.510637283325195,3.8514299392700195
140,2,7.012571428571428,8.181,7.3962,1.276158332824707,12.669031143188477,21.018415451049805
141,1,6.988333333333333,7.729,7.1854,2.102540969848633,13.63469123840332,3.5781238079071045
141,2,6.218375,7.736,6.802600000000001,0.5319554209709167,31.467544555664062,11.903884887695312
142,1,7.005625,8.22,7.4696,1.047247290611267,99.58103942871094,4.922007083892822
142,2,6.9685,7.844,7.322,6.819012641906738,48.811805725097656,8.605184555053711
143,1,6.345625,7.705,6.8748000000000005,24.028438568115234,30.646936416625977,16.47743797302246
143,2,6.9155,8.124,7.4244,1.6096409559249878,10.91822624206543,7.890183925628662
144,1,6.783125,7.732,7.1808,1.7339900732040405,7.441411018371582,19.8310546875
144,2,6.999375000000001,8.623,7.506600000000001,3.306318521499634,60.62372589111328,8.971616744995117
145,1,6.7848749999999995,8.053,7.2762,76.03367614746094,6.393427848815918,55.7365837097168
145,2,6.964875,7.816,7.2676,1.3686351776123047,4.377300262451172,5.469767093658447
146,1,6.916714285714285,8.249,7.3566,1.439873218536377,8.539953231811523,7.4265618324279785
146,2,7.064285714285715,8.243,7.239199999999999,0.9850489497184753,4.257970809936523,3.044771671295166
147,1,6.913375,7.987,7.4488,0.9844872951507568,6.8666672706604,2.4763712882995605
147,2,6.691714285714285,7.673,7.2554,0.13316157460212708,9.99464225769043,2.014082908630371
148,1,6.7368749999999995,7.915,7.499599999999999,0.5580942630767822,35.5778694152832,2.90289306640625
148,2,6.823499999999999,8.54,7.274799999999999,0.32333922386169434,33.32190704345703,5.608888626098633
149,1,7.069,7.956,7.586,0.7741940021514893,3.1476328372955322,3.774989604949951
149,2,7.1129999999999995,8.011,7.497199999999999,1.1987496614456177,6.253144264221191,2.815321922302246
150,1,6.922750000000001,8.049,7.2858,3.1017112731933594,8.351082801818848,9.58197021484375
150,2,6.2932500000000005,6.778,6.4799999999999995,2.9521307945251465,43.15380096435547,12.840635299682617
151,1,6.83,8.38,7.297,1.139760971069336,59.70578384399414,10.919185638427734
151,2,6.773375000000001,7.846,7.2024,4.398824691772461,9.868500709533691,7.569431781768799
