original,augmented
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,c1c(C(c2cc3c(nc(Nc4ccc(O)cc4)c4n3c(C)nn4)cc2)=O)cccc1
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,c12nc(Nc3ccc(O)cc3)c3nnc(C)n3c1cc(C(=O)c1ccccc1)cc2
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,c1cc(O)ccc1Nc1c2nnc(C)n2c2cc(C(=O)c3ccccc3)ccc2n1
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,c1ccc([C@@H](CC([O-])=O)c2ccc3c(c2)OCO3)cc1
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,c1cccc([C@H](c2cc3c(cc2)OCO3)CC([O-])=O)c1
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,c1ccccc1[C@H](c1ccc2c(c1)OCO2)CC(=O)[O-]
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,c1c([C@H](CC([O-])=O)c2ccccc2)cc2c(c1)OCO2
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,c1ccc(F)c(C(=O)Nc2ccc(N3CCC(C(=O)N)([NH+]4CCCCC4)CC3)cc2C(=O)[O-])c1
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,c1ccc(F)c(C(Nc2ccc(N3CCC(C(N)=O)([NH+]4CCCCC4)CC3)cc2C([O-])=O)=O)c1
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,c1(C(=O)[O-])c(NC(c2c(F)cccc2)=O)ccc(N2CCC([NH+]3CCCCC3)(C(N)=O)CC2)c1
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,C1CCC[NH+](C2(C(N)=O)CCN(c3cc(C(=O)[O-])c(NC(c4ccccc4F)=O)cc3)CC2)C1
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,C1CC[NH+](C2(C(=O)N)CCN(c3ccc(NC(=O)c4c(F)cccc4)c(C(=O)[O-])c3)CC2)CC1
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,C(Sc1nnc2n(C)c(=O)c3c(cccc3)n12)C(N1CCOCC1)=O
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,O=C(N1CCOCC1)CSc1n2c(nn1)n(C)c(=O)c1ccccc21
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,Cn1c(=O)c2ccccc2n2c1nnc2SCC(N1CCOCC1)=O
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,N1(C(CSc2nnc3n(C)c(=O)c4c(cccc4)n23)=O)CCOCC1
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,N1(C(CSc2n3c4ccccc4c(=O)n(C)c3nn2)=O)CCOCC1
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,c1cc2c(cc1)N(CC(N)=O)C(=O)[C@@]2(CC(c1ccncc1)=O)O
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,C([C@@]1(O)C(=O)N(CC(N)=O)c2c1cccc2)C(c1ccncc1)=O
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,C(C(=O)c1ccncc1)[C@]1(O)c2ccccc2N(CC(N)=O)C1=O
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,O=C(c1ccncc1)C[C@]1(O)c2c(cccc2)N(CC(N)=O)C1=O
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,c1cccc2c1N(CC(N)=O)C(=O)[C@]2(O)CC(=O)c1ccncc1
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,C1(=O)C[C@H](N2CCC(C(N)=O)CC2)C(=O)N1c1ccc(NC(=O)C)cc1
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,c1cc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)ccc1NC(C)=O
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(=O)N)CC3)C2=O)cc1
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,c1cc(NC(=O)C)ccc1N1C(=O)C[C@H](N2CCC(C(N)=O)CC2)C1=O
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,N1(c2ccc(NC(=O)C)cc2)C(=O)C[C@H](N2CCC(C(N)=O)CC2)C1=O
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,n1c(CSc2nc3ccccc3n2CC(N)=O)n(CC(N)=O)c2c1cccc2
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,c12nc(SCc3nc4ccccc4n3CC(=O)N)n(CC(=O)N)c1cccc2
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,c1c2n(CC(N)=O)c(SCc3nc4ccccc4n3CC(N)=O)nc2ccc1
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,n1c(CSc2nc3c(n2CC(N)=O)cccc3)n(CC(N)=O)c2ccccc12
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,c1cccc2nc(SCc3n(CC(=O)N)c4ccccc4n3)n(CC(N)=O)c12
NC(=O)Cn1cnc2c(sc3ncccc32)c1=O,O=C(N)Cn1cnc2c(sc3ncccc32)c1=O
NC(=O)Cn1cnc2c(sc3ncccc32)c1=O,c1ccnc2c1c1ncn(CC(N)=O)c(=O)c1s2
NC(=O)Cn1cnc2c(sc3ncccc32)c1=O,c12c(c(=O)n(CC(N)=O)cn1)sc1ncccc21
NC(=O)Cn1cnc2c(sc3ncccc32)c1=O,O=C(N)Cn1c(=O)c2c(nc1)c1c(nccc1)s2
NC(=O)Cn1cnc2c(sc3ncccc32)c1=O,c12cccnc1sc1c2ncn(CC(N)=O)c1=O
Cn1ncc2c1ncn1nc(-c3n[nH]cc3[N+](=O)[O-])nc21,[N+](=O)([O-])c1c(-c2nn3cnc4c(c3n2)cnn4C)n[nH]c1
